"통계분류(1)",통계분류(2),2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019
"통계분류(1)",통계분류(2),사례수,식도락 관광,쇼핑,자연경관 감상,고궁/역사유적 방문,업무수행,유흥/오락,전통문화체험,박물관 전시관 방문,연수 교육 연구,시찰(산업시설등),기타,없다,계,뷰티관광,시티투어 버스 이용,공연 민속행사 축제참가 및 관람,직업적 스포츠활동,온천 스파,카지노,미팅 회의 학술대회 박람회 등 참가,휴양 휴식,테마파크,스포츠활동,의료관광,레포츠활동,드라마 촬영지 방문,사례수,식도락 관광,쇼핑,자연경관 감상,고궁/역사유적 방문,업무수행,유흥/오락,전통문화체험,박물관 전시관 방문,연수 교육 연구,시찰(산업시설등),기타,없다,계,뷰티관광,시티투어 버스 이용,공연 민속행사 축제참가 및 관람,직업적 스포츠활동,온천 스파,카지노,미팅 회의 학술대회 박람회 등 참가,휴양 휴식,테마파크,스포츠활동,의료관광,레포츠활동,드라마 촬영지 방문,사례수,식도락 관광,쇼핑,자연경관 감상,고궁/역사유적 방문,업무수행,유흥/오락,전통문화체험,박물관 전시관 방문,연수 교육 연구,시찰(산업시설등),기타,없다,계,뷰티관광,시티투어 버스 이용,공연 민속행사 축제참가 및 관람,직업적 스포츠활동,온천 스파,카지노,미팅 회의 학술대회 박람회 등 참가,휴양 휴식,테마파크,스포츠활동,의료관광,레포츠활동,드라마 촬영지 방문,사례수,식도락 관광,쇼핑,자연경관 감상,고궁/역사유적 방문,업무수행,유흥/오락,전통문화체험,박물관 전시관 방문,연수 교육 연구,시찰(산업시설등),기타,없다,계,뷰티관광,시티투어 버스 이용,공연 민속행사 축제참가 및 관람,직업적 스포츠활동,온천 스파,카지노,미팅 회의 학술대회 박람회 등 참가,휴양 휴식,테마파크,스포츠활동,의료관광,레포츠활동,드라마 촬영지 방문,식도락 관광,쇼핑,자연경관 감상,고궁/역사유적 방문,업무수행,유흥/오락,전통문화체험,박물관 전시관 방문,연수 교육 연구,시찰(산업시설등),기타,없다,계,뷰티관광,시티투어 버스 이용,공연 민속행사 축제참가 및 관람,휴양 휴식,테마파크,스포츠활동,의료관광,레포츠활동,드라마 촬영지 방문,식도락 관광,쇼핑,자연경관 감상,고궁/역사유적 방문,업무수행,K-POP/한류스타 관련 촬영지 방문,유흥/오락,전통문화체험,뷰티/의료관광,박물관 전시관 방문,스포츠/레저 관람 및 참가,연수 교육 연구,시찰(산업시설등),기타,없다,계
"거주국",태국,399,4.5,53.6,9,9.1,0.9,1.2,2.7,2,0.4,0,0.2,0.3,100,0.5,1.3,1.4,0.1,1.1,0.6,1,4.5,3.8,1.7,0.1,0,0,359,9.5,41.1,12.1,9.7,2.7,3,1.8,1.1,0.5,0.4,0.6,0,100,0.8,1.8,2.9,0.1,0.7,0.1,0.7,4.2,3.5,1.6,0.4,0.7,0,324,9.3,44.8,12.1,7.7,1.9,3,2.3,1.9,0.8,0.3,0.4,0,100,0.7,1.2,2.6,0.1,0.6,0.1,1,3.5,2.7,2.2,0.1,0.6,0,510,12.9,42.4,10.9,8.6,0.9,3.4,0.3,1.2,1.3,0.2,0.4,0,100,0.5,1.3,2.7,0.1,0.7,0.2,0,1.7,6.3,1.7,1.2,1.4,0,5.3,44,16.1,9.1,2.7,2.1,2.6,1.1,0.8,0.9,0.3,0,100,0.8,0.7,4.1,1.3,3.6,1.8,1,0.3,1.2,8.4,30.1,20.8,8.4,5.3,4.6,5.7,6.4,1.1,1.8,2.1,3.5,1.5,0.1,0,100
"거주국",말레이시아,221,2.1,33.4,15.9,9.4,4.9,2,3.1,2,1.4,0,0.2,0,100,0.1,1.3,3,0,0.1,0,1.4,4.1,8.5,5.6,0,1.5,0,230,4.4,28.3,18.3,12,2.1,2.3,4.4,2.9,1.7,0.1,0.1,0,100,0.2,2.8,3.1,0.7,1.8,0.4,1.3,2.5,5.6,4.1,0,1,0,223,1.8,28.5,20.4,10,0.6,2,3.5,5.8,0.8,0.3,0.3,0,100,0,3.4,4.6,0.4,0.2,0,0.1,2,9.6,4.5,0,1.3,0,328,6.5,26.5,20.1,10.6,2.3,2.9,2.6,1.6,1.1,0.2,0,0,100,0.9,1.8,1.9,0,0.8,0.4,0.8,1.4,8.7,7.3,0.7,1.1,0,12.9,21.8,24.8,10.2,3.7,1.3,4.8,2,2.1,0.4,0,0,100,0.8,1.7,3.4,1.2,5.1,2.5,0.3,0.3,0.8,13.7,23.3,27.3,13.5,4.5,3.8,3.3,4.8,0.8,1.6,2.7,0.3,0.3,0.1,0,100
"거주국",호주,125,3.6,21.2,8.3,11.3,15.3,6.1,1.4,4,0.7,0.6,3.3,0,100,0.2,2.9,3.8,0.5,2.4,0,4.1,1.9,3.6,3.5,0,1.6,0,138,7.1,12.1,11.3,10.3,15.5,4,3.2,4.3,1,1.5,2.8,0,100,0.2,3.4,3.7,0.5,0.8,0,4.3,6.6,2,1.7,0.2,3.3,0,115,7.2,13.9,9.6,14.4,15.7,5.8,3.2,4.2,1.5,0.7,1.8,0,100,0,2.5,2.1,1.4,1.8,0,5.3,3.8,1.2,1.6,0,2.3,0,167,8.2,15.7,9.4,17.1,9.1,6,5.1,2.4,1.4,0.6,2,0,100,0,2.1,3.6,0.8,1.3,0.3,2.8,2,2,3.6,0.7,3.8,0,10.5,12.6,15.5,19,18,3.5,5.2,2.8,0.5,0.4,2.4,0,100,0,1.6,2.2,1.3,0.9,2.2,0.2,0.9,0.2,12.9,15,14.9,19.6,12.7,4,3.8,5.5,0.4,5.3,2.5,1,0.5,1.8,0,100
"거주국",미국,696,3.5,14.7,9.8,14.9,17.4,4.5,5.8,2.9,3.2,0.5,2.5,0.2,100,0.3,2.9,2.2,0.8,1.3,0,3.1,1.9,1.8,1.5,0,4.2,0,799,5.3,12.2,9.7,14.2,12.7,5.7,5.1,5.5,2,0.3,3.4,0,100,0.1,2.8,2.7,0.9,2.3,0.3,3.8,1.6,1.4,3,0.1,5.1,0,630,7.7,11.4,8.3,20.4,11.6,5.4,5.7,4.5,2.4,0.9,3.2,0,100,0.1,1.2,2.8,0.5,1.8,0.1,3.1,2.7,1.5,0.8,0.2,3.7,0,933,8.3,14,7.7,19,12.2,7.6,5.6,5.6,2.1,0.4,1.1,0,100,0.2,1.3,2.8,1.1,2.5,0.1,2.6,1.7,1.2,0.5,0.2,2.1,0,9.3,10.1,13.4,21.6,19.8,3.2,5.3,3.1,1.1,0.6,2.2,0,100,0.4,1.2,1.8,2,1.1,2.1,0.1,1.1,0.3,10.2,13.1,12.6,23.4,18.7,3.5,3.8,4.6,0.6,4.1,2.2,1.6,0.3,1.4,0,100
"거주국",캐나다,130,3,20.2,8,19.5,10.7,5.9,4.3,3.2,2.2,0.3,1,0.3,100,0.3,3,2.5,1.7,2.6,0.2,2,1.9,1.8,2,0,3.3,0,151,2.4,16,10.3,16.1,10.1,5.4,5.1,4.8,1.6,0.4,2,0,100,0.3,3.7,3.5,0.7,2.4,0,5.5,1.7,2.5,0.9,0.3,4.4,0,126,6.4,14.4,7.7,25.8,8.4,3.4,5.6,3.2,1.2,0.9,2.7,0,100,0.8,1.7,3.8,0.5,1.2,0,2.7,2.5,1,1.8,0.2,4.2,0,186,7.6,15.5,9.3,23.1,9.9,4.3,5,3,1.5,0.2,1.5,0,100,0.2,1.9,3.1,1.4,1.3,0,1.7,1.6,1.1,2.3,0.7,3.7,0,13.1,13.9,13.4,21.9,12.3,2.3,5,2.4,0.6,0.1,2.5,0,100,0.5,0.8,2.8,2.1,1.2,1.8,0.2,2.8,0.2,10.7,16.7,14.6,25.3,11.1,2.1,4.1,4.4,1.8,3.9,2.7,0.4,0.2,1.9,0,100
"거주국",영국,110,3.3,14,8.8,11.9,30.7,6.1,3.8,3.6,2.1,0,2.1,0.5,100,0,1.2,1.3,0,1.4,0,4.5,1.3,1.5,0.4,0,1.4,0,120,5.1,10,9,15.7,14.4,7.2,3,4.1,2.4,1.7,2.3,0,100,0,2.4,3.1,0.6,2.2,0,6.4,2,1.4,2.7,0.4,3.8,0,91,5.5,9,8.9,16.4,20.4,3,4.6,3.3,3.2,1.1,2.9,0,100,0.3,1,0.8,0.3,2.8,0.3,8.7,2.7,0.6,0.5,0.7,3.1,0,132,7.2,9.4,7.9,19.3,19,6.4,5,4.2,0.8,1.4,1.8,0,100,0,1.3,1.5,0.8,1.9,0,3.4,1.5,0.7,2.3,0.3,3.9,0,7.5,9.3,11.8,20,27.6,4.4,3.4,2.7,1,0.2,2.4,0,100,0.2,0.5,3.5,1.1,0.7,2.8,0,0.9,0,9.1,10.1,16.5,20.6,25.8,1.8,3.3,3.1,0.6,3.1,3.7,1,0.7,0.6,0,100
"거주국",독일,86,4.2,12.8,10.8,13.1,29.4,3.6,4.6,2.4,1.6,0,0.2,0.2,100,0,2.2,2.9,1,1,0,4,0.2,0.9,2.2,0.2,2.6,0,100,9.1,7.1,8.2,15.3,25.9,4.9,5.7,2.4,3.4,0.6,1,0,100,0.3,0.9,3.5,0.5,1,0,3.8,1.8,1.3,0.7,0,2.5,0,77,6.9,6.7,6.7,17.6,23.6,4.1,5.3,2,3.7,1.3,1.4,0,100,0.3,0.4,4.1,0.8,1,0,4.7,2.9,0.6,2.5,0.3,2.9,0,112,9.5,6.7,8,12.4,24.2,4,7,1.6,2.7,1.1,1.3,0,100,0,1.6,2.6,0,1.1,0,5.5,1.1,1.3,1.5,0,6.7,0,13.9,3.9,7.7,12.7,36.4,2.9,5.6,3.7,1.5,0.6,2.3,0,100,0.3,1.4,2,0.9,1.1,0.5,0.3,1.9,0.3,10.6,7.7,13.1,16.8,26.7,3.4,3.2,5.9,0.4,5.4,1.5,1,3.7,0.4,0.2,100
"거주국",프랑스,71,4.4,8.3,9.5,11.6,27.9,6.1,4.1,2.2,0.5,1.9,1.9,0,100,0.7,1.2,3,0,1.1,0,9.6,1,0.5,0.9,0,3.5,0,85,9.5,5,8.5,18.5,15.7,7.8,7.8,1.5,1.6,2.6,1.9,0,100,0.2,2.4,3.9,1.1,0.5,0,3.3,2.2,0.7,0,0,5.1,0,66,14,2.1,5.5,13.3,24.1,8.3,5.5,2.6,3.9,2.9,1,0,100,0.3,0.3,2.9,0,0.6,0,8.6,1,0.2,0.3,0,2.7,0,97,15.5,6.5,13,18.4,15.3,5.7,7,4.4,1.5,0.5,0.3,0,100,0.4,0,1.5,1,0,0,4.4,1.4,0.2,1.3,0,1.8,0,12.5,8.3,11.5,22.5,23.1,1.2,4.4,3.7,1.4,0.4,0.8,0,100,0.2,0.8,4.4,1.8,0.6,0.7,0,1.1,0.4,19.6,4,12.2,30.6,17.5,2.1,3.7,3,0.5,3.6,1.8,0,0.3,1.1,0,100
"거주국",러시아,158,2.6,11,1.6,7.9,11.1,3,3.2,1.7,3.8,1,0.4,0,100,0.3,8.3,4.7,0.6,1,0.2,3.7,1.1,13.6,1.8,16.6,0.8,0,154,2.6,17.9,2.2,5.1,10.9,3.5,2.6,2,2,0.4,0.9,0,100,0.9,5.6,8,0.2,1.5,0.4,1.8,3.1,10.2,1.2,14.7,2.2,0,138,4.2,19.6,2.8,11.7,6,5.3,3.8,3.2,3.3,1.1,1,0,100,0.5,3.1,6.8,0.4,1.3,0,2.2,4.8,8.9,1.4,5,3.5,0,246,6.4,17,10,13.1,6.3,4.4,5.3,2.6,2.6,0.4,0.7,0,100,0.7,0.9,1.4,0.6,1.9,0.4,2.7,6.2,6.6,2.8,4.9,2.4,0,11.6,18.6,12.4,10.5,18,1.5,1.7,1.9,2.6,0.8,1.4,0,100,0.8,1,1.5,1.5,2.1,4,6.6,1.4,0.1,11.5,20.7,22.4,6.6,9.9,0.8,11.2,4.1,6.9,3.6,0.7,1,0.4,0,0.2,100
"거주국",중동,137,0.9,16.9,4.4,4.1,48.8,0.6,1.7,1,4.1,0.5,3.8,0,100,0.2,1.9,0.2,0,0.8,0,2.1,1,1.2,1.2,4,0.6,0,171,2,16.5,6.7,6.2,30.6,2.8,1.1,2.9,4.1,1.2,3.2,0,100,0.6,2.4,2.3,0,0,0,2.1,1.7,2.8,0.3,9.3,1.4,0,135,1.4,22,7.6,6.8,27.1,2.4,2.8,1.5,3.9,0,1.9,0,100,0,1.9,1.1,0.7,0.2,0,2.4,4.8,1.7,0.2,8,1.7,0,226,5.6,19.5,5.1,10.2,13.5,3.4,3.1,2.9,3.3,1,0.2,0,100,0.5,0.8,1.6,0.8,1.6,0,1.7,3.5,4,2.3,14.4,0.9,0,5.6,17.3,9.5,10.1,24.2,1.5,2.6,2.2,4.6,0.2,1.3,0,100,0.3,1.5,2.8,1,1.8,1.7,11,0.4,0.3,11.6,26.4,12.3,7.1,14.9,2.3,7.4,4.2,8.1,1.7,0.6,2.9,0.6,0.2,0,100
"거주국",중앙아시아,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10.7,23.9,14.2,6.2,11.9,1.8,9.8,4.5,10.8,2.3,0.8,2.7,0.1,0.2,0,100
"거주국",GCC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,37.3,10.6,6.1,13.6,1.7,3.5,3.3,7,1.3,0.6,2.8,1.1,0.2,0,100
"거주국",기타중동,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14.6,25.9,7.8,10.2,24.6,4,3,3.9,0.8,0,0,3.4,1.7,0,0,100
"거주국",인도,66,1.1,22.6,8.7,10.7,22.9,3.9,2.1,1.9,3.5,1.1,0,0,100,0,2.2,1,1.9,2.3,0.4,5.9,1.6,2.9,2.7,0,0.6,0,74,1.4,17.4,9.3,10,18.6,4.4,4,3.8,6,2.3,0,0,100,0,3.5,2.2,0.2,0.4,0.5,8.6,0.9,4.6,0.5,0,1.7,0,57,2,14.2,8.3,8.9,27.2,2.3,2.1,3.9,7.2,1.1,0.3,0,100,0,3.1,1.6,0,0.7,0.3,9.3,0.4,1.7,3.5,0,1.9,0,85,2.7,13.4,9.3,14.8,23.2,3.6,3.2,3.6,8.2,1.2,0.6,0,100,0,1,1.3,0,0.3,0,6.1,0.7,3.9,1.7,0,1.2,0,2.1,12.8,10.2,14.9,39.9,1.7,1.4,2,3.9,1.1,0.3,0,100,0.3,3.1,2.2,0.4,1.9,0.4,0,1.2,0.3,6.3,16,15,11.5,33.9,0.6,3,1.5,0.6,3.1,2.1,3.8,2,0.5,0,100
"거주국",필리핀,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,284,4.5,16.7,18.7,21.6,2.9,4.9,3.3,3.3,2.6,0,0.6,0,100,0.2,1.5,3.6,0.3,0.4,0.5,1.3,2.4,8.3,1.2,0.3,0.8,0,11,20.1,17.3,18.5,6.3,0.8,7.4,1.1,1.1,0,0.2,0,100,0.3,1.7,2.9,1,6.4,1.4,0.2,0.2,2.2,14.7,20.1,22.1,12.5,4.5,8.6,3,8.2,1.3,2.4,1.1,0.9,0,0.7,0,100
"거주국",인도네시아,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195,12.8,24,14.4,14.7,3.2,2.8,2.7,2.4,1.2,0.7,0,0,100,0.6,1.9,3.2,0,0.4,0.8,2.4,4.6,2.8,3.5,0.1,0.8,0,20.1,22.9,13.4,9.9,12.3,0.7,5,1.9,1.7,0.2,0,0,100,0.1,0.7,3.3,0.7,2.7,2.9,0.3,0.4,0.8,24.6,18.2,20.6,11.2,4.7,7.8,2.5,3.1,0.1,1.2,2.3,1.6,1.2,0.8,0,100
"거주국",베트남,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,332,11.3,25.1,18,8.1,2.3,3.1,1.6,2.1,4.3,9.3,0.3,0,100,0.2,0.1,0.5,0.1,0.8,0,1.3,4.5,4.4,1.6,0,0.7,0,24.8,19.4,17,9.2,6.3,2.7,3.9,3.7,3.1,0.7,0,0,100,0.2,0.8,1.5,1.1,3.1,0.7,0.3,0.4,1.3,24.8,24.7,18.1,7.1,3.3,3.4,5.2,3.6,2.6,4,0.7,1.5,0.7,0.4,0,100
"거주국",몽골,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.4,31.4,10.2,3.2,9.2,0.6,2.8,2.4,3.6,0.9,0.2,0,100,1.2,1.5,3.9,0.5,4,0.6,3.4,0.4,0.7,19.9,30.1,11.7,8.6,10.6,1.7,1.7,2.3,4,1.1,1.3,3.2,2.8,0.8,0,100
"거주국",기타,930,2.7,16.2,6.1,14.8,22.8,3.9,4.8,3.3,3.6,0.6,1.2,0,100,0,1.9,2.4,1,1.3,0.5,5.7,1.5,2.3,1.8,0,1.7,0,1098,5.4,17.8,11.4,14.8,12.4,4.1,3.4,3.6,4.4,1.5,1.3,0,100,0.4,1.9,3.1,0.3,0.7,0.2,3.8,2.4,3.3,1.7,0,1.9,0,944,6.8,16.3,8.9,18.1,13.6,4.5,4.6,2.9,4.1,0.8,1,0,100,0,1.8,1.8,1.2,0.8,0.2,4.2,1.4,4.7,1.4,0,0.9,0,787,7.8,8.1,9,21.1,16.9,3.9,6.6,3.4,4.2,1.6,1.5,0,100,0.6,1.8,1.8,1.4,1.5,0,2.8,1,1.3,1.9,0,1.8,0,7.5,8.7,15.1,17.2,24.1,2.1,4.7,2.8,3.3,0.1,2.1,0,100,0.4,1.9,4.5,1.4,1.3,1.4,0.4,0.6,0.2,9.5,10,17.4,18.4,20.9,3.5,2.2,4.7,0.4,4.4,2.9,4.3,0.7,0.8,0,100
"성별",남성,5368,9.2,24.1,14,7.9,14.8,3.7,1.8,2,2.1,0.6,1.2,0.1,100,0.2,1.5,1.4,0.5,1.7,1,4.2,2.2,2.9,1.6,0.3,1.1,0,5747,12.4,19.4,12.8,8.8,11.9,4.1,2.3,2.4,1.8,1,1.3,0,100,0.2,2.1,2.2,0.3,1.4,1.3,5.1,2.3,3.1,1.9,0.4,1.5,0,4960,17.1,20,13.1,8.9,10.1,4.3,2.3,2.9,1.7,0.8,1,0,100,0.4,0.9,2.5,0.3,1,0.9,3.4,2.2,2.8,1.6,0.5,1.2,0,6217,20,18.3,11.2,9.2,12,4.9,1.9,1.8,2.5,1,1,0,100,0.3,0.7,2,0.4,1.1,1.2,2.9,1.6,2.3,1.9,0.6,1.3,0,24.7,16.8,12.6,8.5,18.2,2.7,2.4,1.8,1.7,0.4,1,0,100,0.3,1,2,0.9,1.8,1.6,0.4,0.6,0.5,28.4,16.4,15.2,9.4,13.9,2.2,4.7,2.7,0.7,2,1.7,1.6,0.7,0.5,0,100
"성별",여성,6656,11,42.7,11.1,7.1,1.4,2.2,1.5,1.2,1.4,0.1,1.2,0,100,1.6,1.2,4.8,0.1,2.1,0.8,0.8,1.6,3.7,1,0.7,0.8,0,7135,14.9,34.9,13.5,6.8,1.4,2.8,1.8,1.9,1.5,0.1,1.4,0,100,1.6,1.7,5.6,0.1,1.5,0.4,0.8,1.4,3.3,1.1,0.7,1,0,7043,16.1,37.8,10.5,7.2,1.3,2.8,1.9,2.4,1.3,0.1,1.1,0,100,1,1.3,4.9,0.1,1.8,0.6,0.9,1.4,3.5,0.8,0.3,0.9,0,7624,19.3,36.4,9.2,7.5,1.2,3.1,2.3,1.6,1.6,0.2,1.2,0,100,1.2,0.8,4.8,0.2,1.5,0.2,0.4,1.6,2.6,1.5,0.8,0.6,0,32.8,26.4,11.2,6.8,3.4,1,2.6,1.2,1,0.1,0.8,0,100,1.1,0.7,4.8,0.8,1.9,1.1,0.8,0.4,0.9,32.3,25.4,13.4,7.1,2.7,7.1,2.6,3.1,2.4,1.5,1.2,0.7,0.2,0.5,0,100
"연령",15~20세,702,10.1,42,7,3.8,0.7,6,1.2,2.1,4,0.1,0.4,0,100,0.9,1.1,3,0.4,3.3,1.8,0.3,0.4,9.5,1.6,0,0.3,0,666,14.7,31.6,10.4,6.1,1.1,5.8,2.2,2.4,4.5,0.2,0.9,0,100,1.3,1.2,4.6,0.4,0.3,1.6,0.4,1.8,5.7,1.7,0.3,0.8,0,730,16.6,32.6,8.4,7,0.2,5.7,3.4,2.3,4.8,0,0.4,0,100,0.8,1.1,5.8,0.5,1.6,1.2,0.3,0.7,4.4,0.9,0.1,1.2,0,953,15.7,34,7.8,7.4,0.1,5.6,3,1.5,4,0.1,0.5,0,100,1,0.7,5.4,0.2,1.1,1.3,0.5,1.5,4.9,2.1,0.6,0.9,0,29,29.8,6.8,5.8,0.6,2.3,4.4,1.7,3.1,0,0.1,0,100,1.9,0.6,6.8,0.9,3.2,1.3,0.7,0.7,0.4,28.6,30.4,7.5,5.9,0.5,11.5,5.1,3.3,1.7,1.5,1.3,2.4,0.1,0.1,0.1,100
"연령",21~30세,4560,11.2,41,12.2,6.2,2.7,3.7,1.5,1.3,1.9,0.1,0.9,0.1,100,0.9,1.1,3.6,0.2,1.9,0.6,1,1.4,3.7,1.3,0.3,1.1,0,5076,15.3,34.3,12.1,6.5,2.2,4.3,2,1.9,2.1,0.2,1.2,0,100,1.1,1.8,3.5,0.2,1.7,0.6,0.7,1,3.9,1.8,0.3,1.6,0,5231,18.4,35.6,11.8,6.1,1,4.6,2.3,2.4,1.6,0.2,0.7,0,100,0.8,1,3,0.1,1.7,0.5,0.7,1.3,3.6,1.1,0.2,1.2,0,5655,19.5,33.7,10.2,7.3,1.6,5.1,2.6,1.8,2.4,0.3,0.8,0,100,0.6,0.7,3.3,0.3,1.3,0.5,0.6,1.4,2.5,1.7,0.7,1.1,0,32.1,24.3,10.5,6.5,5,1.9,2.8,1.5,1.4,0.1,0.8,0,100,0.9,1,5,0.8,1.8,1.3,0.6,0.6,1,34.2,22.2,11.7,6.6,2.9,7.2,4.7,3.5,2.2,1.5,1.5,1.2,0.2,0.4,0,100
"연령",31~40세,3282,9.4,37.1,12.7,6.6,9,2.4,1.6,1.7,1.1,0.3,1.1,0.1,100,1,1.4,2.3,0.2,1.7,0.8,2.3,1.7,2.9,1.1,0.8,0.8,0,3487,14.1,28.6,14.3,7.1,6.5,2.9,1.6,2.4,0.7,0.6,1.4,0,100,1.1,2.1,4.3,0.2,1.3,0.7,2.7,1.6,3,1.1,0.7,0.9,0,3286,16,31.5,10.5,8.7,5.3,3,2,3.1,0.7,0.4,1.2,0,100,0.9,1.4,4,0.1,1,0.9,1.5,1.6,3.4,1.2,0.7,0.8,0,3429,21.1,29.6,9.2,8.6,6.7,3.3,1.8,1.4,1.4,0.8,1,0,100,1,0.8,2.8,0.2,1.1,0.6,1.4,1.3,2.4,1.8,0.8,0.9,0,30.4,24.3,11,7.3,9.9,1.5,2.4,1.1,1.2,0.3,0.6,0,100,0.5,1,2.6,1,1.8,1.2,0.8,0.4,0.7,30.3,25.1,13.7,6.9,7.6,3.8,3.2,3.1,1.3,1.9,1.5,1,0.3,0.3,0,100
"연령",41~50세,1813,9.7,24.7,11.8,8.3,13.5,1.9,1.4,1.3,1.6,0.8,1.6,0,100,1.4,1.4,3.5,0.4,1.8,1,4,2.7,2.8,1.8,1.1,1.2,0,1972,11.8,20.5,13.7,8.5,12,2.3,2.7,2.4,1.4,1,0.8,0,100,0.6,2.1,4,0.1,1.5,1.2,5.7,2.6,2.2,1.3,0.8,0.9,0,1581,14.8,21.4,11.6,9.6,12.6,1.6,1.4,2.5,0.9,1,1.3,0,100,0.4,1.5,5.8,0.3,1.3,0.8,4.8,2,2.1,1.4,0.4,0.8,0,2128,19.5,19.8,10.2,8.6,13.9,2.8,1.3,1.9,0.9,0.9,0.9,0,100,0.5,0.8,3.9,0.4,1.6,0.6,3.4,2.1,2.3,2.1,0.7,0.8,0,27.2,20.1,11.3,7.5,15.5,1.3,2.3,1.9,1.1,0.4,0.7,0,100,0.6,0.8,2.9,1,2,1.7,0.6,0.4,0.5,28.7,22.3,14,8.4,11.8,3.2,2.5,2.7,1.7,1.5,1.2,0.9,0.6,0.5,0,100
