키,명칭,행정 시,행정 구,행정 동,지정고시일,면적(㎢),연락처
BE_IW02-0001,Itaewon Special Tourist Zone,Seoul,Yongsan-gu,"Itaewon1-dong, Hannamdong",1997-09-29,0.38,02-2199-7254
BE_IW02-0002,Myeong-dong Namdaemun Bukchang-dong Da-dong Mugyo-dong Special Tourist Zone,Seoul,Jung-gu,"Sogong-dong, Hoehyeon-dong, Myeong-dong",2000-03-30 (2012-12-27),0.87,02-3396-4622
BE_IW02-0003,Dongdaemun Fashion Town Special Tourist Zone,Seoul,Jung-gu,"Gwanghui-dong, Sindangdong",2002-05-23,0.58,02-3396-4622
BE_IW02-0004,Jongno Cheonggye Special Toruist Zone,Seoul,Jongno-gu,"Jongno1234ga-dong, Jongno56ga-dong, Changsin1-dong",2006-03-30,0.54,02-2148-1863
BE_IW02-0005,Jamsil Special Tourist zone,Seoul,Songpa-gu,"Jamsil3-dong, Jamsil6-dong, Bangi2-dong, Oryun-dong",2012-03-15,2.31,02-2147-2116
BE_IW02-0006,Gangnam MICE Special Tourist Zone,Seoul,Gangnam-gu,Samseong1-dong,2014-12-18,0.19,02-3423-5535
,HongDae Culture & Arts Special Tourist Zone,Seoul,Mapo-gu,"Seogyo-dong, Donggyo-dong, Hapjeong-dong, Sangsu-dong",2021-12-02,1.13,02-3153-8653
