"키","명칭","행정시","행정구","행정동"
"BE_IW16-0975","Piyang Halmeoni","Seoul","Gangnam-gu","Yeoksam1-dong"
"BE_IW16-0976","Pilgyeongjae","Seoul","Gangnam-gu","Suseo-dong"
"BE_IW16-0977","Hanuso","Seoul","Dobong-gu","Chang5-dong"
"BE_IW16-0978","Haneuldam","Seoul","Songpa-gu","Samjeon-dong"
"BE_IW16-0979","Hadonggwan","Seoul","Jung-gu","Myeong-dong"
"BE_IW16-0980","Haru","Seoul","Songpa-gu","Seokchon-dong"
"BE_IW16-0981","Harbang Ttongdoeji","Seoul","Nowon-gu","Sanggye3.4-dong"
"BE_IW16-0982","Hayanjip","Seoul","Seocho-gu","Yangjae2-dong"
"BE_IW16-0983","Himart Gildong Shop","Seoul","Gangdong-gu","Gil-dong"
"BE_IW16-0984","Hangang Garden (Restaurant)","Seoul","Yongsan-gu","Seobinggo-dong"
"BE_IW16-0985","Hankukkwan","Seoul","Mapo-gu","Seogyo-dong"
"BE_IW16-0986","Hankukkwan","Seoul","Yongsan-gu","Namyeong-dong"
"BE_IW16-0987","Hankukkwan","Seoul","Gangseo-gu","Yeomchang-dong"
"BE_IW16-0988","Hankukkwan","Seoul","Gangnam-gu","Dogok1-dong"
"BE_IW16-0989","Hanguk Hoegwan","Seoul","Jung-gu","Myeong-dong"
"BE_IW16-0990","Hanmaru","Seoul","Gwanak-gu","Miseong-dong"
"BE_IW16-0991","Hanmaru","Seoul","Seocho-gu","Bangbae4-dong"
"BE_IW16-0992","Hanmijang","Seoul","Gangbuk-gu","Ui-dong"
"BE_IW16-0993","Hansarang","Seoul","Songpa-gu","Bangi1-dong"
"BE_IW16-0994","Hansang","Seoul","Eunpyeong-gu","Galhyeon2-dong"
"BE_IW16-0995","Hanseo","Seoul","Seodaemun-gu","Bugahyeon-dong"
"BE_IW16-0996","Chinese Restaurant","Seoul","Mapo-gu","Yeonnam-dong"
"BE_IW16-0997","Chinese Restaurant","Seoul","Jongno-gu","Jongno1.2.3.4ga-dong"
"BE_IW16-0998","Hansoban","Seoul","Seocho-gu","Naegok-dong"
"BE_IW16-0999","Hansot Jung","Seoul","Seodaemun-gu","Namgajwa2-dong"
"BE_IW16-1000","Hansot Box Lunch","Seoul","Gwanak-gu","Daehak-dong"
"BE_IW16-1001","Hansot Box Lunch","Seoul","Gwangjin-gu","Hwayang-dong"
"BE_IW16-1002","Hansot Box Lunch","Seoul","Nowon-gu","Junggye1-dong"
"BE_IW16-1003","Hanyang Garden","Seoul","Gangbuk-gu","Beon1-dong"
"BE_IW16-1004","Hanok","Seoul","Jongno-gu","Muak-dong"
"BE_IW16-1005","Hanok Restaurant","Seoul","Seongbuk-gu","Jeongneung3-dong"
"BE_IW16-1006","Hanwoori","Seoul","Gangnam-gu","Gaepo2-dong"
"BE_IW16-1007","Hanu Ma-eul","Seoul","Gangbuk-gu","Ui-dong"
"BE_IW16-1008","Hanu Ma-eul","Seoul","Jung-gu","Hwanghak-dong"
"BE_IW16-1009","Hanuman","Seoul","Seocho-gu","Seocho3-dong"
"BE_IW16-1010","Hanuchon(Korean Beef)","Seoul","Jung-gu","Euljiro-dong"
"BE_IW16-1011","Hanuchon(Korean Beef)","Seoul","Mapo-gu","Sangam-dong"
"BE_IW16-1012","Hanu Hanmari","Seoul","Gangseo-gu","Hwagok1-dong"
"BE_IW16-1013","Hanu Hyanggi","Seoul","Jongno-gu","Pyeongchang-dong"
"BE_IW16-1014","Hanul Apt.","Seoul","Seocho-gu","Bangbae3-dong"
"BE_IW16-1015","Hanilgwan","Seoul","Gangnam-gu","Apgujeong-dong"
"BE_IW16-1016","Hanil Restaurant","Seoul","Dobong-gu","Ssangmun3-dong"
"BE_IW16-1017","Haniljang","Seoul","Jongno-gu","Jongno1.2.3.4ga-dong"
"BE_IW16-1018","Hanchon Ox Bone Soup","Seoul","Gangdong-gu","Seongnae3-dong"
"BE_IW16-1019","Hantangang River","Seoul","Gangseo-gu","Hwagok1-dong"
"BE_IW16-1020","Halmae Shellfishsoup","Seoul","Gangnam-gu","Daechi2-dong"
"BE_IW16-0033","Ganga","Seoul","Jung-gu","Myeong-dong"
"BE_IW16-0689","Townhouse","Seoul","Jongno-gu","Gahoe-dong"
"BE_IW16-0690","Ujeong Restaurant","Seoul","Seocho-gu","Seocho3-dong"
"BE_IW16-0691","Ujeong Restaurant","Seoul","Gwanak-gu","Jungang-dong"
"BE_IW16-0692","Ujeong Restaurant","Seoul","Yongsan-gu","Hannam-dong"
"BE_IW16-0693","Uchon","Seoul","Seodaemun-gu","Sinchon-dong"
"BE_IW16-0694","Wooldolmok","Seoul","Seocho-gu","Seocho3-dong"
"BE_IW16-0695","Wongang","Seoul","Gangnam-gu","Nonhyeon1-dong"
"BE_IW16-0696","Won-gwang","Seoul","Songpa-gu","Samjeon-dong"
