,ctr,tour,cb,ob,study,ect,total,yoy,growth,ratio,date,season
245,스페인,1356,28,5,24,311,1724,1342,28.5,0.1,2014-04,spring
246,그리스,423,31,1,1,252,708,722,-1.9,0.1,2014-04,spring
247,포르투갈,811,9,2,2,109,933,577,61.7,0.1,2014-04,spring
248,핀란드,690,19,0,27,228,964,941,2.4,0.1,2014-04,spring
249,아일랜드,456,30,1,1,116,604,572,5.6,0.0,2014-04,spring
250,우크라이나,560,115,1,2,1495,2173,2151,1.0,0.2,2014-04,spring
251,러시아,13055,206,9,18,7070,20358,16062,26.7,1.6,2014-04,spring
252,크로아티아,191,45,0,1,466,703,642,9.5,0.1,2014-04,spring
253,루마니아,361,27,2,0,778,1168,1132,3.2,0.1,2014-04,spring
254,불가리아,189,9,0,1,563,762,805,-5.3,0.1,2014-04,spring
255,폴란드,723,30,0,8,339,1100,1060,3.8,0.1,2014-04,spring
256,구주 기타,1905,93,8,17,960,2983,2693,10.8,0.2,2014-04,spring
258,오스트레일리아,11557,451,59,4,1618,13689,10458,30.9,1.1,2014-04,spring
259,뉴질랜드,1954,59,1,1,425,2440,2231,9.4,0.2,2014-04,spring
260,대양주 기타,305,0,0,0,95,400,643,-37.8,0.0,2014-04,spring
262,남아프리카공화국,370,28,1,3,339,741,758,-2.2,0.1,2014-04,spring
263,아프리카 기타,1567,653,59,53,607,2939,2545,15.5,0.2,2014-04,spring
265,국적미상,28,4,0,0,20,52,25,108.0,0.0,2014-04,spring
267,교포,0,0,0,0,26555,26555,26602,-0.2,2.1,2014-04,spring
269,일본,184996,3780,92,391,12230,201489,222936,-9.6,16.3,2014-05,spring
270,대만,58051,78,13,104,1859,60105,41361,45.3,4.8,2014-05,spring
271,홍콩,46081,119,1,60,803,47064,23596,99.5,3.8,2014-05,spring
272,마카오,2534,2,0,6,26,2568,1129,127.5,0.2,2014-05,spring
273,태국,34721,66,193,45,6544,41569,29640,40.2,3.4,2014-05,spring
274,말레이시아,19397,222,6,40,1693,21358,16306,31.0,1.7,2014-05,spring
275,필리핀,15171,286,138,40,28282,43917,36607,20.0,3.5,2014-05,spring
276,인도네시아,11969,491,45,43,9730,22278,14882,49.7,1.8,2014-05,spring
277,싱가포르,15748,319,6,32,1643,17748,12388,43.3,1.4,2014-05,spring
278,미얀마,1235,20,65,9,3753,5082,5776,-12.0,0.4,2014-05,spring
279,베트남,8013,555,226,159,4511,13464,9100,48.0,1.1,2014-05,spring
280,인도,2509,2770,32,62,7831,13204,10010,31.9,1.1,2014-05,spring
281,스리랑카,208,54,4,8,1423,1697,2034,-16.6,0.1,2014-05,spring
282,파키스탄,268,277,22,24,235,826,696,18.7,0.1,2014-05,spring
283,방글라데시,179,124,61,10,379,753,785,-4.1,0.1,2014-05,spring
284,캄보디아,639,56,89,37,2857,3678,2925,25.7,0.3,2014-05,spring
285,몽골,3758,215,220,105,426,4724,5059,-6.6,0.4,2014-05,spring
286,중국,410971,7908,266,4082,93804,517031,278723,85.5,41.7,2014-05,spring
287,이란,147,288,0,9,50,494,519,-4.8,0.0,2014-05,spring
288,이스라엘,1065,4,2,2,104,1177,949,24.0,0.1,2014-05,spring
289,터키,910,24,65,22,982,2003,1607,24.6,0.2,2014-05,spring
290,우즈베키스탄,1205,665,0,30,2090,3990,3673,8.6,0.3,2014-05,spring
291,카자흐스탄,1201,130,6,29,318,1684,1047,60.8,0.1,2014-05,spring
292,GCC,1684,88,18,122,79,1991,1367,45.6,0.2,2014-05,spring
293,아시아 기타,1612,628,195,40,1640,4115,4798,-14.2,0.3,2014-05,spring
295,미국,51402,1185,1411,138,13792,67928,65251,4.1,5.5,2014-05,spring
296,캐나다,9492,218,4,26,3363,13103,12199,7.4,1.1,2014-05,spring
297,멕시코,826,15,10,18,398,1267,933,35.8,0.1,2014-05,spring
298,브라질,853,32,4,75,276,1240,1640,-24.4,0.1,2014-05,spring
299,미주 기타,1428,45,18,45,1130,2666,2478,7.6,0.2,2014-05,spring
301,영국,7567,720,13,20,2297,10617,9892,7.3,0.9,2014-05,spring
302,독일,6747,278,15,118,1674,8832,8511,3.8,0.7,2014-05,spring
303,프랑스,5087,411,38,236,1167,6939,6519,6.4,0.6,2014-05,spring
304,네덜란드,1863,85,1,55,554,2558,2386,7.2,0.2,2014-05,spring
305,스웨덴,1275,71,8,42,183,1579,1525,3.5,0.1,2014-05,spring
306,스위스,943,26,1,16,108,1094,1248,-12.3,0.1,2014-05,spring
307,이탈리아,2352,107,10,13,1449,3931,2871,36.9,0.3,2014-05,spring
308,덴마크,757,86,0,18,104,965,798,20.9,0.1,2014-05,spring
309,노르웨이,1016,479,0,15,145,1655,1426,16.1,0.1,2014-05,spring
310,벨기에,623,21,3,11,112,770,792,-2.8,0.1,2014-05,spring
311,오스트리아,612,9,1,10,197,829,769,7.8,0.1,2014-05,spring
312,스페인,1103,35,7,34,338,1517,1493,1.6,0.1,2014-05,spring
313,그리스,377,29,0,0,339,745,622,19.8,0.1,2014-05,spring
314,포르투갈,655,13,2,2,202,874,596,46.6,0.1,2014-05,spring
315,핀란드,684,14,0,51,275,1024,985,4.0,0.1,2014-05,spring
316,아일랜드,418,33,0,1,184,636,599,6.2,0.1,2014-05,spring
317,우크라이나,446,117,1,7,1765,2336,2118,10.3,0.2,2014-05,spring
318,러시아,13128,198,13,41,5906,19286,15808,22.0,1.6,2014-05,spring
319,크로아티아,201,41,0,4,438,684,483,41.6,0.1,2014-05,spring
320,루마니아,435,28,2,2,813,1280,938,36.5,0.1,2014-05,spring
321,불가리아,191,16,0,4,566,777,624,24.5,0.1,2014-05,spring
322,폴란드,904,52,0,21,534,1511,1131,33.6,0.1,2014-05,spring
323,구주 기타,1667,120,12,38,1278,3115,2770,12.5,0.3,2014-05,spring
325,오스트레일리아,9298,872,30,15,1888,12103,9956,21.6,1.0,2014-05,spring
326,뉴질랜드,2002,96,0,1,526,2625,2602,0.9,0.2,2014-05,spring
327,대양주 기타,448,1,4,1,129,583,755,-22.8,0.0,2014-05,spring
329,남아프리카공화국,434,44,2,0,474,954,796,19.8,0.1,2014-05,spring
330,아프리카 기타,1757,731,100,90,537,3215,2646,21.5,0.3,2014-05,spring
332,국적미상,19,7,0,1,18,45,9,400.0,0.0,2014-05,spring
334,교포,0,0,0,0,26314,26314,27273,-3.5,2.1,2014-05,spring
336,일본,164438,2230,146,574,5668,173056,201163,-14.0,13.6,2014-06,summer
337,대만,58980,72,4,185,1608,60849,53808,13.1,4.8,2014-06,summer
338,홍콩,53593,84,0,94,1113,54884,34872,57.4,4.3,2014-06,summer
339,마카오,3282,0,0,7,24,3313,1869,77.3,0.3,2014-06,summer
340,태국,23538,62,246,59,5499,29404,19853,48.1,2.3,2014-06,summer
341,말레이시아,13847,175,4,65,1887,15978,13039,22.5,1.3,2014-06,summer
342,필리핀,8682,242,116,57,36586,45683,40337,13.3,3.6,2014-06,summer
343,인도네시아,10425,379,55,66,10823,21748,18839,15.4,1.7,2014-06,summer
344,싱가포르,19135,267,7,37,1564,21010,18357,14.5,1.6,2014-06,summer
345,미얀마,1261,21,57,17,4644,6000,5733,4.7,0.5,2014-06,summer
346,베트남,7830,468,232,279,4011,12820,10608,20.9,1.0,2014-06,summer
347,인도,2204,2955,25,67,12219,17470,13114,33.2,1.4,2014-06,summer
348,스리랑카,269,73,19,11,916,1288,1484,-13.2,0.1,2014-06,summer
349,파키스탄,216,238,13,35,294,796,835,-4.7,0.1,2014-06,summer
350,방글라데시,178,146,47,33,422,826,730,13.2,0.1,2014-06,summer
351,캄보디아,607,47,87,21,955,1717,2156,-20.4,0.1,2014-06,summer
352,몽골,4509,174,216,178,331,5408,5706,-5.2,0.4,2014-06,summer
353,중국,429991,8510,309,5480,129562,573852,399031,43.8,45.1,2014-06,summer
354,이란,195,233,3,15,36,482,683,-29.4,0.0,2014-06,summer
355,이스라엘,818,3,3,2,27,853,1047,-18.5,0.1,2014-06,summer
356,터키,1128,13,65,18,1149,2373,1817,30.6,0.2,2014-06,summer
357,우즈베키스탄,1198,704,0,35,1657,3594,3803,-5.5,0.3,2014-06,summer
358,카자흐스탄,1207,102,11,78,319,1717,1220,40.7,0.1,2014-06,summer
359,GCC,2122,72,67,149,73,2483,3096,-19.8,0.2,2014-06,summer
360,아시아 기타,1461,581,179,56,1077,3354,6042,-44.5,0.3,2014-06,summer
362,미국,59597,827,1319,117,13065,74925,70198,6.7,5.9,2014-06,summer
363,캐나다,8560,115,5,14,3334,12028,11370,5.8,0.9,2014-06,summer
364,멕시코,803,14,0,26,565,1408,1135,24.1,0.1,2014-06,summer
365,브라질,886,29,7,44,314,1280,1655,-22.7,0.1,2014-06,summer
366,미주 기타,1534,35,21,36,1388,3014,3488,-13.6,0.2,2014-06,summer
368,영국,7536,659,9,13,2812,11029,10439,5.7,0.9,2014-06,summer
369,독일,5949,227,10,100,1434,7720,8345,-7.5,0.6,2014-06,summer
370,프랑스,4838,391,15,161,985,6390,6338,0.8,0.5,2014-06,summer
371,네덜란드,1777,93,3,22,599,2494,2529,-1.4,0.2,2014-06,summer
372,스웨덴,1321,57,2,15,189,1584,1890,-16.2,0.1,2014-06,summer
373,스위스,828,11,2,13,97,951,973,-2.3,0.1,2014-06,summer
374,이탈리아,2562,83,8,10,2491,5154,3456,49.1,0.4,2014-06,summer
375,덴마크,672,68,1,9,120,870,872,-0.2,0.1,2014-06,summer
376,노르웨이,1199,449,6,7,116,1777,1518,17.1,0.1,2014-06,summer
377,벨기에,659,27,1,7,135,829,823,0.7,0.1,2014-06,summer
378,오스트리아,654,7,5,8,190,864,831,4.0,0.1,2014-06,summer
379,스페인,1197,27,10,38,291,1563,1390,12.4,0.1,2014-06,summer
380,그리스,395,42,0,0,316,753,774,-2.7,0.1,2014-06,summer
381,포르투갈,745,9,0,2,391,1147,739,55.2,0.1,2014-06,summer
382,핀란드,637,24,0,16,245,922,1073,-14.1,0.1,2014-06,summer
383,아일랜드,432,31,1,0,218,682,665,2.6,0.1,2014-06,summer
384,우크라이나,376,142,0,7,1956,2481,1974,25.7,0.2,2014-06,summer
385,러시아,14056,132,21,71,5767,20047,15088,32.9,1.6,2014-06,summer
386,크로아티아,239,33,0,0,530,802,607,32.1,0.1,2014-06,summer
387,루마니아,331,26,1,4,1081,1443,1119,29.0,0.1,2014-06,summer
388,불가리아,200,2,1,3,650,856,797,7.4,0.1,2014-06,summer
389,폴란드,668,33,2,16,401,1120,1391,-19.5,0.1,2014-06,summer
390,구주 기타,1523,100,13,28,1666,3330,2843,17.1,0.3,2014-06,summer
392,오스트레일리아,10111,438,18,10,2085,12662,11058,14.5,1.0,2014-06,summer
393,뉴질랜드,2093,60,0,0,484,2637,2492,5.8,0.2,2014-06,summer
394,대양주 기타,434,1,10,3,65,513,545,-5.9,0.0,2014-06,summer
396,남아프리카공화국,446,36,1,2,542,1027,1049,-2.1,0.1,2014-06,summer
397,아프리카 기타,1794,622,90,131,604,3241,3204,1.2,0.3,2014-06,summer
399,국적미상,11,11,0,0,25,47,14,235.7,0.0,2014-06,summer
401,교포,0,0,0,0,25079,25079,27158,-7.7,2.0,2014-06,summer
403,일본,164741,1837,108,385,5356,172427,208219,-17.2,12.7,2014-07,summer
404,대만,60327,66,13,80,1556,62042,47728,30.0,4.6,2014-07,summer
405,홍콩,47721,119,0,35,891,48766,33408,46.0,3.6,2014-07,summer
406,마카오,3539,5,0,5,30,3579,2160,65.7,0.3,2014-07,summer
407,태국,26210,51,361,58,6404,33084,21184,56.2,2.4,2014-07,summer
408,말레이시아,9124,141,2,35,1899,11201,9420,18.9,0.8,2014-07,summer
409,필리핀,6672,247,110,52,32924,40005,42198,-5.2,3.0,2014-07,summer
410,인도네시아,10265,210,14,96,9913,20498,16892,21.3,1.5,2014-07,summer
411,싱가포르,8794,222,6,52,1476,10550,9518,10.8,0.8,2014-07,summer
412,미얀마,1441,26,37,17,3484,5005,5689,-12.0,0.4,2014-07,summer
413,베트남,6917,447,132,270,4627,12393,12485,-0.7,0.9,2014-07,summer
414,인도,2316,2344,27,67,10300,15054,13737,9.6,1.1,2014-07,summer
415,스리랑카,288,38,6,29,1047,1408,1940,-27.4,0.1,2014-07,summer
416,파키스탄,163,120,7,27,235,552,673,-18.0,0.0,2014-07,summer
417,방글라데시,107,85,23,20,547,782,1022,-23.5,0.1,2014-07,summer
418,캄보디아,552,40,57,20,1307,1976,1790,10.4,0.1,2014-07,summer
419,몽골,2890,99,165,191,538,3883,5024,-22.7,0.3,2014-07,summer
420,중국,540683,22925,314,4087,124044,692053,569787,21.5,51.1,2014-07,summer
421,이란,183,215,1,31,44,474,412,15.0,0.0,2014-07,summer
422,이스라엘,764,6,1,0,63,834,791,5.4,0.1,2014-07,summer
423,터키,906,9,40,12,896,1863,1690,10.2,0.1,2014-07,summer
424,우즈베키스탄,1263,600,2,40,1806,3711,3385,9.6,0.3,2014-07,summer
425,카자흐스탄,1398,61,9,27,306,1801,1278,40.9,0.1,2014-07,summer
426,GCC,1383,59,1,44,44,1531,788,94.3,0.1,2014-07,summer
427,아시아 기타,1439,329,145,62,2156,4131,5447,-24.2,0.3,2014-07,summer
429,미국,51695,953,1868,132,13532,68180,63323,7.7,5.0,2014-07,summer
430,캐나다,9116,142,5,19,3583,12865,11360,13.2,0.9,2014-07,summer
431,멕시코,914,11,2,43,507,1477,1046,41.2,0.1,2014-07,summer
432,브라질,798,21,2,26,284,1131,1283,-11.8,0.1,2014-07,summer
433,미주 기타,1262,24,14,83,1209,2592,4059,-36.1,0.2,2014-07,summer
435,영국,8297,600,8,23,3188,12116,9554,26.8,0.9,2014-07,summer
436,독일,6503,202,17,75,1509,8306,8244,0.8,0.6,2014-07,summer
437,프랑스,5860,351,10,112,1025,7358,7100,3.6,0.5,2014-07,summer
438,네덜란드,2148,91,1,35,541,2816,2520,11.7,0.2,2014-07,summer
439,스웨덴,933,45,7,11,170,1166,1544,-24.5,0.1,2014-07,summer
440,스위스,1048,21,0,10,152,1231,1109,11.0,0.1,2014-07,summer
441,이탈리아,2342,90,6,12,1752,4202,4199,0.1,0.3,2014-07,summer
442,덴마크,653,69,1,9,159,891,962,-7.4,0.1,2014-07,summer
443,노르웨이,986,478,1,5,145,1615,1478,9.3,0.1,2014-07,summer
444,벨기에,688,18,1,6,134,847,793,6.8,0.1,2014-07,summer
445,오스트리아,639,7,0,8,165,819,829,-1.2,0.1,2014-07,summer
446,스페인,1566,19,2,21,434,2042,1523,34.1,0.2,2014-07,summer
447,그리스,355,26,0,2,247,630,823,-23.5,0.0,2014-07,summer
448,포르투갈,813,11,4,1,276,1105,779,41.8,0.1,2014-07,summer
449,핀란드,432,15,0,14,240,701,685,2.3,0.1,2014-07,summer
450,아일랜드,413,27,0,1,187,628,570,10.2,0.0,2014-07,summer
451,우크라이나,460,88,0,8,1708,2264,2214,2.3,0.2,2014-07,summer
452,러시아,14668,117,16,48,5231,20080,14539,38.1,1.5,2014-07,summer
453,크로아티아,255,42,0,1,513,811,717,13.1,0.1,2014-07,summer
454,루마니아,334,12,0,3,947,1296,1099,17.9,0.1,2014-07,summer
455,불가리아,210,6,0,5,671,892,741,20.4,0.1,2014-07,summer
456,폴란드,829,39,0,12,482,1362,1023,33.1,0.1,2014-07,summer
457,구주 기타,1600,103,13,34,1332,3082,2676,15.2,0.2,2014-07,summer
459,오스트레일리아,9499,375,14,11,2362,12261,10012,22.5,0.9,2014-07,summer
460,뉴질랜드,2320,52,0,0,562,2934,2413,21.6,0.2,2014-07,summer
461,대양주 기타,495,0,4,1,133,633,537,17.9,0.0,2014-07,summer
463,남아프리카공화국,441,36,2,3,534,1016,824,23.3,0.1,2014-07,summer
464,아프리카 기타,1231,390,73,120,526,2340,2526,-7.4,0.2,2014-07,summer
466,국적미상,16,7,0,0,11,34,13,161.5,0.0,2014-07,summer
468,교포,0,0,0,0,23427,23427,25370,-7.7,1.7,2014-07,summer
470,일본,198068,2506,163,1778,5632,208147,270582,-23.1,14.3,2014-08,summer
471,대만,58472,61,10,631,728,59902,51403,16.5,4.1,2014-08,summer
472,홍콩,50366,78,0,297,761,51502,36798,40.0,3.5,2014-08,summer
473,마카오,5416,0,0,22,28,5466,3063,78.5,0.4,2014-08,summer
474,태국,23081,37,275,231,6285,29909,18045,65.7,2.1,2014-08,summer
475,말레이시아,8811,258,7,562,1845,11483,13732,-16.4,0.8,2014-08,summer
476,필리핀,5768,281,131,218,34004,40402,41683,-3.1,2.8,2014-08,summer
477,인도네시아,3385,311,66,470,11001,15233,22869,-33.4,1.0,2014-08,summer
478,싱가포르,8238,242,3,344,1320,10147,10499,-3.4,0.7,2014-08,summer
479,미얀마,1045,27,58,100,3580,4810,5542,-13.2,0.3,2014-08,summer
480,베트남,5228,438,201,757,5590,12214,11241,8.7,0.8,2014-08,summer
481,인도,2045,2556,61,296,11223,16181,14299,13.2,1.1,2014-08,summer
482,스리랑카,245,50,9,44,1319,1667,1255,32.8,0.1,2014-08,summer
483,파키스탄,273,213,24,212,244,966,833,16.0,0.1,2014-08,summer
484,방글라데시,244,129,58,137,452,1020,837,21.9,0.1,2014-08,summer
485,캄보디아,386,59,53,124,1231,1853,1414,31.0,0.1,2014-08,summer
486,몽골,2696,123,237,864,1023,4943,6046,-18.2,0.3,2014-08,summer
487,중국,588181,8340,173,23091,137898,757683,642258,18.0,52.1,2014-08,summer
488,이란,307,205,9,61,56,638,464,37.5,0.0,2014-08,summer
489,이스라엘,831,6,1,19,60,917,900,1.9,0.1,2014-08,summer
490,터키,936,19,64,136,876,2031,1751,16.0,0.1,2014-08,summer
491,우즈베키스탄,1252,784,4,232,2410,4682,3483,34.4,0.3,2014-08,summer
492,카자흐스탄,1286,64,2,391,333,2076,1283,61.8,0.1,2014-08,summer
493,GCC,2988,82,7,418,184,3679,2967,24.0,0.3,2014-08,summer
494,아시아 기타,1501,573,209,433,1653,4369,4733,-7.7,0.3,2014-08,summer
496,미국,42524,865,1911,926,17756,63982,59353,7.8,4.4,2014-08,summer
497,캐나다,7609,129,17,133,4808,12696,12543,1.2,0.9,2014-08,summer
498,멕시코,693,9,9,140,364,1215,996,22.0,0.1,2014-08,summer
499,브라질,1019,55,11,134,319,1538,1539,-0.1,0.1,2014-08,summer
500,미주 기타,1360,33,22,222,1196,2833,4388,-35.4,0.2,2014-08,summer
502,영국,7013,704,15,99,3460,11291,11040,2.3,0.8,2014-08,summer
503,독일,6470,260,14,607,1592,8943,8571,4.3,0.6,2014-08,summer
504,프랑스,6057,497,53,825,1503,8935,7890,13.2,0.6,2014-08,summer
505,네덜란드,1749,94,3,185,514,2545,2519,1.0,0.2,2014-08,summer
506,스웨덴,903,79,4,169,189,1344,1398,-3.9,0.1,2014-08,summer
507,스위스,917,12,2,67,74,1072,1030,4.1,0.1,2014-08,summer
508,이탈리아,2099,100,23,85,2326,4633,3839,20.7,0.3,2014-08,summer
509,덴마크,571,87,1,81,189,929,800,16.1,0.1,2014-08,summer
510,노르웨이,765,571,4,46,258,1644,1483,10.9,0.1,2014-08,summer
511,벨기에,646,27,1,44,171,889,726,22.5,0.1,2014-08,summer
512,오스트리아,619,16,1,51,173,860,866,-0.7,0.1,2014-08,summer
513,스페인,1695,29,6,151,359,2240,1764,27.0,0.2,2014-08,summer
514,그리스,343,67,2,4,284,700,752,-6.9,0.0,2014-08,summer
515,포르투갈,1040,15,3,24,234,1316,963,36.7,0.1,2014-08,summer
516,핀란드,526,16,1,130,226,899,863,4.2,0.1,2014-08,summer
517,아일랜드,361,35,0,7,360,763,847,-9.9,0.1,2014-08,summer
518,우크라이나,537,68,1,41,1845,2492,2338,6.6,0.2,2014-08,summer
519,러시아,13360,166,39,459,5623,19647,14631,34.3,1.4,2014-08,summer
520,크로아티아,242,47,0,4,559,852,826,3.1,0.1,2014-08,summer
521,루마니아,395,36,0,25,871,1327,1248,6.3,0.1,2014-08,summer
522,불가리아,168,4,0,32,660,864,709,21.9,0.1,2014-08,summer
523,폴란드,757,80,0,76,444,1357,1272,6.7,0.1,2014-08,summer
524,구주 기타,1587,59,15,259,1251,3171,2891,9.7,0.2,2014-08,summer
526,오스트레일리아,6966,422,40,83,1661,9172,8773,4.5,0.6,2014-08,summer
527,뉴질랜드,1916,50,0,8,663,2637,2493,5.8,0.2,2014-08,summer
528,대양주 기타,440,1,10,24,69,544,555,-2.0,0.0,2014-08,summer
530,남아프리카공화국,438,51,2,5,925,1421,1566,-9.3,0.1,2014-08,summer
531,아프리카 기타,1355,385,112,566,524,2942,3156,-6.8,0.2,2014-08,summer
533,국적미상,15,6,0,4,17,42,6,600.0,0.0,2014-08,summer
535,교포,0,0,0,0,24423,24423,26295,-7.1,1.7,2014-08,summer
537,일본,186840,2476,216,629,6145,196306,246926,-20.5,15.8,2014-09,fall
538,대만,52010,72,3,181,676,52942,46894,12.9,4.2,2014-09,fall
539,홍콩,39344,478,0,112,680,40614,27733,46.4,3.3,2014-09,fall
540,마카오,2807,16,0,12,28,2863,1595,79.5,0.2,2014-09,fall
541,태국,28105,62,325,94,4966,33552,21411,56.7,2.7,2014-09,fall
542,말레이시아,18781,258,5,131,1671,20846,17643,18.2,1.7,2014-09,fall
543,필리핀,6032,366,137,73,25474,32082,36006,-10.9,2.6,2014-09,fall
544,인도네시아,3380,403,102,156,8189,12230,16770,-27.1,1.0,2014-09,fall
545,싱가포르,13745,238,6,41,1198,15228,14129,7.8,1.2,2014-09,fall
546,미얀마,1077,27,157,28,3236,4525,4994,-9.4,0.4,2014-09,fall
547,베트남,5251,459,391,714,4848,11663,11527,1.2,0.9,2014-09,fall
548,인도,2926,2751,109,96,8423,14305,12485,14.6,1.1,2014-09,fall
549,스리랑카,459,73,10,61,1097,1700,1411,20.5,0.1,2014-09,fall
550,파키스탄,531,247,27,88,196,1089,983,10.8,0.1,2014-09,fall
551,방글라데시,410,128,78,65,373,1054,1052,0.2,0.1,2014-09,fall
552,캄보디아,781,68,101,35,424,1409,1491,-5.5,0.1,2014-09,fall
553,몽골,3379,154,337,471,660,5001,4929,1.5,0.4,2014-09,fall
554,중국,423133,15585,491,12683,112186,564078,483518,16.7,45.3,2014-09,fall
555,이란,906,212,13,31,57,1219,516,136.2,0.1,2014-09,fall
556,이스라엘,836,15,2,4,49,906,1025,-11.6,0.1,2014-09,fall
557,터키,1219,13,128,30,743,2133,1683,26.7,0.2,2014-09,fall
558,우즈베키스탄,1795,849,0,187,1945,4776,3970,20.3,0.4,2014-09,fall
559,카자흐스탄,1799,96,11,84,329,2319,1213,91.2,0.2,2014-09,fall
560,GCC,3190,68,62,248,77,3645,1734,110.2,0.3,2014-09,fall
561,아시아 기타,3377,652,304,118,925,5376,4532,18.6,0.4,2014-09,fall
563,미국,53490,938,1333,95,13799,69655,62646,11.2,5.6,2014-09,fall
564,캐나다,9896,189,7,22,3651,13765,11585,18.8,1.1,2014-09,fall
565,멕시코,820,17,5,17,305,1164,901,29.2,0.1,2014-09,fall
566,브라질,1127,48,12,34,269,1490,1541,-3.3,0.1,2014-09,fall
567,미주 기타,2107,37,40,69,928,3181,3206,-0.8,0.3,2014-09,fall
569,영국,8893,1012,9,16,2498,12428,10780,15.3,1.0,2014-09,fall
570,독일,7851,255,15,58,1503,9682,9443,2.5,0.8,2014-09,fall
571,프랑스,5124,472,22,71,915,6604,6536,1.0,0.5,2014-09,fall
572,네덜란드,2012,98,2,21,455,2588,2266,14.2,0.2,2014-09,fall
573,스웨덴,1251,75,3,32,182,1543,1651,-6.5,0.1,2014-09,fall
574,스위스,1136,26,2,9,147,1320,1195,10.5,0.1,2014-09,fall
575,이탈리아,2359,170,9,9,1905,4452,4068,9.4,0.4,2014-09,fall
576,덴마크,728,74,2,3,156,963,882,9.2,0.1,2014-09,fall
577,노르웨이,1209,583,1,13,163,1969,1754,12.3,0.2,2014-09,fall
578,벨기에,777,29,1,8,125,940,910,3.3,0.1,2014-09,fall
579,오스트리아,788,10,3,5,155,961,899,6.9,0.1,2014-09,fall
580,스페인,1270,35,10,22,275,1612,1545,4.3,0.1,2014-09,fall
581,그리스,419,52,0,2,205,678,719,-5.7,0.1,2014-09,fall
582,포르투갈,741,15,0,4,200,960,696,37.9,0.1,2014-09,fall
583,핀란드,733,69,0,4,226,1032,1004,2.8,0.1,2014-09,fall
584,아일랜드,472,37,0,2,155,666,664,0.3,0.1,2014-09,fall
585,우크라이나,465,94,1,10,1466,2036,1967,3.5,0.2,2014-09,fall
586,러시아,12148,148,19,140,4963,17418,12661,37.6,1.4,2014-09,fall
587,크로아티아,258,36,0,0,356,650,610,6.6,0.1,2014-09,fall
588,루마니아,478,24,6,4,727,1239,1032,20.1,0.1,2014-09,fall
589,불가리아,263,5,0,4,526,798,616,29.5,0.1,2014-09,fall
590,폴란드,1190,65,0,22,418,1695,1180,43.6,0.1,2014-09,fall
591,구주 기타,2069,83,16,42,912,3122,2799,11.5,0.3,2014-09,fall
593,오스트레일리아,12506,506,37,18,3054,16121,11647,38.4,1.3,2014-09,fall
594,뉴질랜드,2471,41,0,0,526,3038,2634,15.3,0.2,2014-09,fall
595,대양주 기타,378,1,3,2,92,476,530,-10.2,0.0,2014-09,fall
597,남아프리카공화국,559,43,4,5,465,1076,953,12.9,0.1,2014-09,fall
598,아프리카 기타,1614,482,182,159,464,2901,2936,-1.2,0.2,2014-09,fall
600,국적미상,13,5,0,1,22,41,15,173.3,0.0,2014-09,fall
602,교포,0,0,0,0,25652,25652,26272,-2.4,2.1,2014-09,fall
604,일본,182575,2074,481,294,4911,190335,245021,-22.3,14.4,2014-10,fall
605,대만,57729,56,7,51,699,58542,49564,18.1,4.4,2014-10,fall
606,홍콩,51549,58,0,27,737,52371,42991,21.8,4.0,2014-10,fall
607,마카오,3827,0,1,3,21,3852,2365,62.9,0.3,2014-10,fall
608,태국,46658,42,344,27,5078,52149,40097,30.1,4.0,2014-10,fall
609,말레이시아,26535,203,12,22,1507,28279,23217,21.8,2.1,2014-10,fall
610,필리핀,15902,342,120,39,23612,40015,35584,12.5,3.0,2014-10,fall
611,인도네시아,10735,259,94,70,7757,18915,16096,17.5,1.4,2014-10,fall
612,싱가포르,18693,159,3,20,1209,20084,17806,12.8,1.5,2014-10,fall
613,미얀마,1281,27,137,10,2688,4143,5451,-24.0,0.3,2014-10,fall
614,베트남,9067,703,511,228,3830,14339,10700,34.0,1.1,2014-10,fall
615,인도,2746,2684,58,48,7428,12964,10970,18.2,1.0,2014-10,fall
616,스리랑카,436,76,4,9,712,1237,1508,-18.0,0.1,2014-10,fall
617,파키스탄,324,221,34,43,225,847,850,-0.4,0.1,2014-10,fall
618,방글라데시,220,118,86,14,376,814,861,-5.5,0.1,2014-10,fall
619,캄보디아,579,80,111,11,656,1437,1489,-3.5,0.1,2014-10,fall
620,몽골,4071,146,327,95,298,4937,4990,-1.1,0.4,2014-10,fall
621,중국,459708,8797,449,3290,90034,562278,343273,63.8,42.7,2014-10,fall
622,이란,592,296,8,15,43,954,618,54.4,0.1,2014-10,fall
623,이스라엘,1425,7,0,3,282,1717,1151,49.2,0.1,2014-10,fall
624,터키,1262,11,91,2,788,2154,2138,0.7,0.2,2014-10,fall
625,우즈베키스탄,1569,983,1,29,1888,4470,4515,-1.0,0.3,2014-10,fall
626,카자흐스탄,1739,162,11,7,316,2235,1313,70.2,0.2,2014-10,fall
627,GCC,2363,61,30,75,76,2605,2018,29.1,0.2,2014-10,fall
628,아시아 기타,2259,680,458,67,1165,4629,4039,14.6,0.4,2014-10,fall
630,미국,60234,799,1301,70,15432,77836,72149,7.9,5.9,2014-10,fall
631,캐나다,11479,108,11,16,3589,15203,12972,17.2,1.2,2014-10,fall
632,멕시코,1003,9,11,8,311,1342,1104,21.6,0.1,2014-10,fall
633,브라질,1398,37,23,22,372,1852,1849,0.2,0.1,2014-10,fall
